Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_23_510.jpg;0;0.1019534;0;0;99.66993;85.58889;-0.002181932;56.82555;-4.505969E-07
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_23_578.jpg;0;0.3000371;0;0.02010634;99.67081;85.59023;0.03259886;56.78959;-3.880752E-05
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_23_644.jpg;0;0.5006522;0;0.02861382;99.67245;85.59273;0.09411278;56.80062;-4.100454E-05
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_23_711.jpg;0;0.7033489;0;0.06618345;99.67569;85.59767;0.2129003;56.8107;-9.482956E-05
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_23_778.jpg;0;0.9016026;0;0.08157907;99.68209;85.60743;0.4314374;56.71775;0.0004826626
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_23_844.jpg;0;1;0;0.1608253;99.68953;85.61864;0.6497135;56.64037;0.0004158678
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_23_912.jpg;0;1;0;0.2217985;99.69913;85.6331;0.9050945;56.54584;0.0004476733
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_23_978.jpg;0;1;0;0.2540628;99.71394;85.65532;1.228928;56.51242;-0.001388715
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_045.jpg;-1.974063;1;0;0.3087626;99.7255;85.67275;1.321628;56.42268;-0.001732367
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_111.jpg;-5.987596;1;0;0.394283;99.73727;85.6899;1.181435;56.26465;-0.0001795441
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_178.jpg;-1.998694;1;0;0.4468758;99.75719;85.71788;1.078299;56.01869;0.0007961782
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_245.jpg;0;1;0;0.4800507;99.77397;85.74243;1.06229;55.98719;0.002290748
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_311.jpg;0;1;0;0.5492629;99.79327;85.77081;1.116745;55.98678;9.617451E-05
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_379.jpg;0;1;0;0.6065385;99.82206;85.81319;1.237675;56.03329;-9.639218E-05
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_446.jpg;0;1;0;0.6577525;99.84427;85.84573;1.229762;55.96043;-0.001667404
